id,olsera_product_id,name,sku,category,price,stock,image_url,description,has_variant,parent_id,parent_name,is_variant
26940521,26940521,LIQUID FREEBASE HR57 GRAPE BERRY 60ML - 3MG,1206230009,Others,145000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,48412550,LIQUID FREEBASE HR57 GRAPE BERRY 60ML,YES
26685547,26685547,LIQUID SALTNIC SALTNIC RCRAFT PARADEWA APPLE ZEUS 30ML - 30MG,0406230007,Others,130000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,47938217,LIQUID SALTNIC SALTNIC RCRAFT PARADEWA APPLE ZEUS 30ML,YES
26530662,26530662,LIQUID PODS FRIENDLY OAT DRIPS V1 CEREAL MILK 30ML - 15MG,2905230017,Others,110000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,47549846,LIQUID PODS FRIENDLY OAT DRIPS V1 CEREAL MILK 30ML,YES
25550412,25550412,LIQUID PODS FRIENDLY ICE PEDIA HONEYDEW 30ML - 15MG,1804230007,Others,85000,1,https://api-dash.olsera.co.id/img/no_data_item.png,,1,45316807,LIQUID PODS FRIENDLY ICE PEDIA HONEYDEW 30ML,YES
25550411,25550411,LIQUID PODS FRIENDLY ICE PEDIA BLACKCURRANT 30ML - 15MG,1804230006,Others,85000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,45316806,LIQUID PODS FRIENDLY ICE PEDIA BLACKCURRANT 30ML,YES
24864879,24864879,LIQUID FREEBASE KHALIFAH OF BROTHER HONEYDEW KHALIFA 60ML - 3MG,2803230025,Others,135000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,44159850,LIQUID FREEBASE KHALIFAH OF BROTHER HONEYDEW KHALIFA 60ML,YES
24864878,24864878,LIQUID FREEBASE KHALIFAH OF BROTHER MANGO KHALIFA 60ML - 3MG,2803230024,Others,135000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,44159849,LIQUID FREEBASE KHALIFAH OF BROTHER MANGO KHALIFA 60ML,YES
24408259,24408259,LIQUID SALTNIC FOOM ZODIAC LIBRA GUAVA CHERRY 30ML - 30MG,1403230018,Others,110000,1,https://api-dash.olsera.co.id/img/no_data_item.png,,1,43017421,LIQUID SALTNIC FOOM ZODIAC LIBRA GUAVA CHERRY 30ML,YES
24408258,24408258,LIQUID SALTNIC FOOM ZODIAC GEMINI MANGO CRANBERRY 30ML - 30MG,1403230017,Others,110000,1,https://api-dash.olsera.co.id/img/no_data_item.png,,1,43017420,LIQUID SALTNIC FOOM ZODIAC GEMINI MANGO CRANBERRY 30ML,YES
24408257,24408257,LIQUID SALTNIC FOOM ZODIAC AQUARIUS LYCHEE RASPBERRY 30ML - 30MG,1403230016,Others,110000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,43017419,LIQUID SALTNIC FOOM ZODIAC AQUARIUS LYCHEE RASPBERRY 30ML,YES
24111849,24111849,LIQUID FREEBASE VAPEZOO LA TEN STRAWBERRY CHEESECAKE 60ML - 3MG,0703230010,Others,140000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,42599843,LIQUID FREEBASE VAPEZOO LA TEN STRAWBERRY CHEESECAKE 60ML,YES
24100835,24100835,LIQUID FREEBASE GRAPE MANGO HERO57 60ML - 3MG,0703230009,Others,145000,1,https://api-dash.olsera.co.id/img/no_data_item.png,,1,42592984,LIQUID FREEBASE GRAPE MANGO HERO57 60ML,YES
24088860,24088860,LIQUID SALTNIC FOOM STRAWBERRY ICE CREAM SALT 30ML - 30MG,0703230007,Others,110000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,42576161,LIQUID SALTNIC FOOM STRAWBERRY ICE CREAM SALT 30ML,YES
24088857,24088857,LIQUID FREEBASE SOONIX V3 MAGENTA SQUASH 60ML - 3MG,0703230004,Others,135000,1,https://api-dash.olsera.co.id/img/no_data_item.png,,1,42576158,LIQUID FREEBASE SOONIX V3 MAGENTA SQUASH 60ML,YES
