id,olsera_product_id,parent_id,parent_name,name,sku,category,brand_name,klasifikasi,price,buy_price,stock,image_url,description,published,pos_hidden,has_variant,is_variant,variant_name,variant_sku,variant_stock,variant_price
50636206,50636206,93066628,LIQUID SALTNIC JUICENATION BUAQITA BANANA 30ML,LIQUID SALTNIC JUICENATION BUAQITA BANANA 30ML - 30MG,2005250011,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e19b3f84.jpeg,,1,0,1,YES,30MG,2005250011,0,110000
50636205,50636205,93066626,LIQUID SALTNIC JUICENATION BUAQITA AVOCADO 30ML,LIQUID SALTNIC JUICENATION BUAQITA AVOCADO 30ML - 30MG,2005250010,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e3ceccb0.jpeg,,1,0,1,YES,30MG,2005250010,0,110000
50636203,50636203,93066624,LIQUID FREEBASE MUFFIN & XES V1 STRAWBERRY CREAM MUFFIN 60ML,LIQUID FREEBASE MUFFIN & XES V1 STRAWBERRY CREAM MUFFIN 60ML - 3MG,2005250008,Others,,NP FREEBASE,150000,120000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e5030f14.jpeg,,1,0,1,YES,3MG,2005250008,0,150000
50636204,50636204,93066624,LIQUID FREEBASE MUFFIN & XES V1 STRAWBERRY CREAM MUFFIN 60ML,LIQUID FREEBASE MUFFIN & XES V1 STRAWBERRY CREAM MUFFIN 60ML - 6MG,2005250009,Others,,NP FREEBASE,150000,120000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e5030f14.jpeg,,1,0,1,YES,6MG,2005250009,0,150000
50636201,50636201,93066622,LIQUID FREEBASE MAKNA V3 SEA SALT CARAMEL LATTE 60ML,LIQUID FREEBASE MAKNA V3 SEA SALT CARAMEL LATTE 60ML - 3MG,2005250006,Others,,NP FREEBASE,140000,110000,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e6a722e8.jpeg,,1,0,1,YES,3MG,2005250006,1,140000
50636202,50636202,93066622,LIQUID FREEBASE MAKNA V3 SEA SALT CARAMEL LATTE 60ML,LIQUID FREEBASE MAKNA V3 SEA SALT CARAMEL LATTE 60ML - 7MG,2005250007,Others,,NP FREEBASE,140000,110000,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e6a722e8.jpeg,,1,0,1,YES,7MG,2005250007,1,140000
50636200,50636200,93066620,LIQUID SALTNIC VAPEZOO LUNAR BANANA ICE CREAM 30ML,LIQUID SALTNIC VAPEZOO LUNAR BANANA ICE CREAM 30ML - 30MG,2005250005,Others,,NP SALTNIC,120000,97500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2e9b70f0d.jpeg,,1,0,1,YES,30MG,2005250005,0,120000
50636198,50636198,93066619,LIQUID FREEBASE OAT DRIPS V3 OAT BANANA 60ML,LIQUID FREEBASE OAT DRIPS V3 OAT BANANA 60ML - 3MG,2005250003,Others,,NP FREEBASE,155000,127500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2eb0e02d0.jpeg,,1,0,1,YES,3MG,2005250003,1,155000
50636199,50636199,93066619,LIQUID FREEBASE OAT DRIPS V3 OAT BANANA 60ML,LIQUID FREEBASE OAT DRIPS V3 OAT BANANA 60ML - 6MG,2005250004,Others,,NP FREEBASE,155000,127500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2eb0e02d0.jpeg,,1,0,1,YES,6MG,2005250004,0,155000
50636196,50636196,93066617,LIQUID FREEBASE OAT DRIPS V2 OAT MUNGBEAN 60ML,LIQUID FREEBASE OAT DRIPS V2 OAT MUNGBEAN 60ML - 3MG,2005250001,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2ec8bf366.jpeg,,1,0,1,YES,3MG,2005250001,0,155000
50636197,50636197,93066617,LIQUID FREEBASE OAT DRIPS V2 OAT MUNGBEAN 60ML,LIQUID FREEBASE OAT DRIPS V2 OAT MUNGBEAN 60ML - 6MG,2005250002,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c2ec8bf366.jpeg,,1,0,1,YES,6MG,2005250002,0,155000
50346131,50346131,92651041,LIQUID SALTNIC LCV PODS GRAPE BERRY 30ML,LIQUID SALTNIC LCV PODS GRAPE BERRY 30ML - 20MG,1205250009,Others,,NP SALTNIC,80000,60000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68235806edc5c.jpeg,,1,0,1,YES,20MG,1205250009,0,80000
50346130,50346130,92651040,LIQUID SALTNIC LCV PODS LYCHEE ICE 30ML,LIQUID SALTNIC LCV PODS LYCHEE ICE 30ML - 20MG,1205250008,Others,,NP SALTNIC,80000,60000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6823581fee0bd.jpeg,,1,0,1,YES,20MG,1205250008,0,80000
50346129,50346129,92651039,LIQUID SALTNIC LCV PODS MANGO MAGIC 30ML,LIQUID SALTNIC LCV PODS MANGO MAGIC 30ML - 20MG,1205250007,Others,,NP SALTNIC,80000,60000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682358385d7c2.jpeg,,1,0,1,YES,20MG,1205250007,0,80000
50346128,50346128,92651038,LIQUID FREEBASE SECRET STRAWBERRY LEMON CAKE 60ML,LIQUID FREEBASE SECRET STRAWBERRY LEMON CAKE 60ML - 6MG,1205250006,Others,,NP FREEBASE,155000,132500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6823584cee97a.jpeg,,1,0,1,YES,6MG,1205250006,1,155000
52513951,52513951,92651038,LIQUID FREEBASE SECRET STRAWBERRY LEMON CAKE 60ML,LIQUID FREEBASE SECRET STRAWBERRY LEMON CAKE 60ML - 3MG,0507250005,Others,,NP FREEBASE,155000,132500,2,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6823584cee97a.jpeg,,1,0,1,YES,3MG,0507250005,2,155000
50346126,50346126,92651037,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BANANA 60ML,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BANANA 60ML - 3MG,1205250004,Others,,NP FREEBASE,150000,122500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68235860753d2.jpeg,,1,0,1,YES,3MG,1205250004,1,150000
50346127,50346127,92651037,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BANANA 60ML,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BANANA 60ML - 6MG,1205250005,Others,,NP FREEBASE,150000,122500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68235860753d2.jpeg,,1,0,1,YES,6MG,1205250005,0,150000
92651036,92651036,92651036,MOD CENTAURUS M100 CONCERTO BLACK,MOD CENTAURUS M100 CONCERTO BLACK,1205250003,Others,,MOD,430000,385000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68235875690c6.jpeg,,1,0,0,NO,,,0,0
92651035,92651035,92651035,POD OXVA XLIM PRO 2 TITANIUM GREY,POD OXVA XLIM PRO 2 TITANIUM GREY,1205250002,Others,,POD,315000,270000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6823588f77c18.jpeg,,1,0,0,NO,,,0,0
92651034,92651034,92651034,POD OXVA XLIM PRO 2 TITANIUM BLUE,POD OXVA XLIM PRO 2 TITANIUM BLUE,1205250001,Others,,POD,315000,270000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682358b9387c6.jpeg,,1,0,0,NO,,,0,0
50136573,50136573,92260204,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BISCUIT 60ML,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BISCUIT 60ML - 3MG,0605250014,Others,,NP FREEBASE,150000,122500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af2fad9851.jpeg,,1,0,1,YES,3MG,0605250014,0,150000
